School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
High School Of Hospitality Management;2;Below average;525 West 50th Street;public;9-12;381;14;New York City Geographic District # 2;/new-york/new-york/8293-High-School-Of-Hospitality-Management/
River East Elementary School;2;Below average;2351 1st Avenue;public;PK, K-5;257;10;New York City Geographic District # 4;/new-york/new-york/8311-River-East-Elementary-School/
Mott Hall High School;2;Below average;6 Edgecombe Avenue;public;9-12 & Ungraded;286;17;New York City Geographic District # 5;/new-york/new-york/8321-Mott-Hall-High-School/
Facing History School;2;Below average;525 West 50th Street;public;9-12;359;11;New York City Geographic District # 2;/new-york/new-york/8768-Facing-History-School/
Cascades High School;2;Below average;198 Forsyth Street;public;9-12;164;16;New York City Geographic District # 1;/new-york/new-york/8962-Cascades-High-School/
Liberty High School Academy For Newcomers;2;Below average;250 West 18th Street;public;9-12 & Ungraded;411;15;New York City Geographic District # 2;/new-york/new-york/8964-Liberty-High-School-Academy-For-Newcomers/
Urban Assembly for the Performing Arts;2;Below average;509 West 129th Street;public;9-12 & Ungraded;387;13;New York City Geographic District # 5;/new-york/new-york/8973-Urban-Assembly-For-The-Performing-Arts/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Innovation Diploma Plus;1.0;Below average;145 West 84th Street;public;10-12;171;14;New York City Geographic District # 3;/new-york/new-york/13279-Innovation-Diploma-Plus/
Harlem Renaissence High School;1.0;Below average;22 East 128th Street;public;9-12;202;12;New York City Geographic District # 5;/new-york/new-york/13288-Harlem-Renaissence-High-School/
High School For Excellence And Innovation;1.0;Below average;650 Academy Street;public;9-12;177;10;New York City Geographic District # 6;/new-york/new-york/13289-High-School-For-Excellence-And-Innovation/
New Design Middle School;1.0;Below average;625 W 133RD ST;public;6-8 & Ungraded;145;8;New York City Geographic District # 5;/new-york/new-york/13595-New-Design-Middle-School/
Eagle Academy For Young Men-Harlem;1.0;Below average;6 Edgecombe Avenue;public;6-12 & Ungraded;377;11;New York City Geographic District # 5;/new-york/new-york/18082-Eagle-Academy-For-Young-Men-Harlem/
Urban Assembly-Global Commerce;1.0;Below average;2005 Madison Avenue;public;9-12;249;N/A;New York City Geographic District # 5;/new-york/new-york/18132-Urban-Assembly-Global-Commerce/
Judith S Kaye High School;1.0;Below average;321 East 96th Street;public;9-12;91;10;New York City Geographic District # 2;/new-york/new-york/18350-Judith-S-Kaye-High-School/
Ps 34 Franklin D Roosevelt;1.0;Below average;730 East 12th Street;public;PK, K-8 & Ungraded;305;9;New York City Geographic District # 1;/new-york/new-york/2134-Ps-34-Franklin-D-Roosevelt/
High School for Law & Public Service;1.0;Below average;549 Audubon Avenue;public;9-12 & Ungraded;476;14;New York City Geographic District # 6;/new-york/new-york/6271-High-School-For-Law--Public-Service/
Manhattan International High School;1.0;Below average;317 East 67th Street;public;9-12;315;14;New York City Geographic District # 2;/new-york/new-york/6808-Manhattan-International-High-School/
James Baldwin School A School For Expeditionary Lr;1.0;Below average;351 West 18th Street;public;9-12;234;12;New York City Geographic District # 2;/new-york/new-york/8185-James-Baldwin-School-A-School-For-Expeditionary-Lr/
High School 560 City As School;1.0;Below average;16 Clarkson Street;public;10-12;529;16;New York City Geographic District # 2;/new-york/new-york/8965-High-School-560-City-As-School/
Independence High School;1.0;Below average;850 10th Avenue;public;9-12;262;17;New York City Geographic District # 2;/new-york/new-york/8966-Independence-High-School/
Satellite Academy High School;1.0;Below average;120 West 30th Street;public;9-12;270;20;New York City Geographic District # 2;/new-york/new-york/8967-Satellite-Academy-High-School/
Edward A Reynolds West Side High School;1.0;Below average;140 West 102nd Street;public;9-12;338;13;New York City Geographic District # 3;/new-york/new-york/8969-Edward-A-Reynolds-West-Side-High-School/
Chase Back-Up Child Care Center;;;3 Chase Metro Tech Ctr;private;PK, K;0;N/A;;/new-york/new-york/10247-Chase-Back-Up-Child-Care-Center/
Stepping Stone Day School;;;7740 Vleigh Pl;private;PK;0;N/A;;/new-york/new-york/11062-Stepping-Stone-Day-School/
Bright Horizons Child Care Center-Rockefellr;;;75 Rockefeller Plaza;private;PK;0;N/A;;/new-york/new-york/11220-Bright-Horizons-Child-Care-Center-Rockefellr/
Bank Of America Child Development-WFC;;;4 World Financial Ctr # 250;private;PK;0;N/A;;/new-york/new-york/11280-Bank-Of-America-Child-Development-WFC/
Temple Emanu-El Nursery School;;;1 East 65th Street;private;PK;0;N/A;;/new-york/new-york/11449-Temple-Emanu-El-Nursery-School/
Granham Windham Finest Care CC;;;1 Police Plz;private;PK;0;N/A;;/new-york/new-york/11450-Granham-Windham-Finest-Care-CC/
East Calvary Day Care Center;;;1 West 112th Street;private;PK;0;N/A;;/new-york/new-york/11451-East-Calvary-Day-Care-Center/
Bellevue South Nursery School;;;10 Waterside Plaza;private;PK;0;N/A;;/new-york/new-york/11452-Bellevue-South-Nursery-School/
Columbus Park West Nursery School;;;100 W 94th St;private;PK;0;N/A;;/new-york/new-york/11453-Columbus-Park-West-Nursery-School/
International Pre-School;;;1010 Park Ave;private;PK;0;N/A;;/new-york/new-york/11454-International-Pre-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Park Avenue Christian Ch Dc;;;1010 Park Avenue;private;PK;0;N/A;;/new-york/new-york/11455-Park-Avenue-Christian-Ch-Dc/
Park Ave Christian Ch DC;;;1010 Park Ave;private;PK;0;N/A;;/new-york/new-york/11456-Park-Ave-Christian-Ch-DC/
Harlem Children's Zone-Beacon;;;103 West 107th Street;private;PK;0;N/A;;/new-york/new-york/11457-Harlem-Childrens-Zone-Beacon/
First Impressions Child Care Center;;;104 East 126th Street;private;PK;0;N/A;;/new-york/new-york/11458-First-Impressions-Child-Care-Center/
Baruch College Elc;;;1 Baruch College #G 1063;private;PK;0;N/A;;/new-york/new-york/11459-Baruch-College-Elc/
Baruch College Early Learning Center;;;104 E 19th St;private;PK;0;N/A;;/new-york/new-york/11460-Baruch-College-Early-Learning-Center/
Birch Family Services;;;104 W 29th St Fl 3;private;PK;0;N/A;;/new-york/new-york/11461-Birch-Family-Services/
Park Avenue Methodist Day School;;;106 East 86th Street;private;PK, K;0;N/A;;/new-york/new-york/11462-Park-Avenue-Methodist-Day-School/
Park Ave Methodist Ch DC;;;106 E 86th St;private;PK;0;N/A;;/new-york/new-york/11463-Park-Ave-Methodist-Ch-DC/
Jacob's Child Care;;;108 Avenue D;private;PK;0;N/A;;/new-york/new-york/11464-Jacobs-Child-Care/
St Bartholomew Community Pre-School;;;109 East 50th Street;private;PK;0;N/A;;/new-york/new-york/11465-St-Bartholomew-Community-Pre-School/
Children's All Day School;;;109 East 60th Street;private;PK;0;N/A;;/new-york/new-york/11466-Childrens-All-Day-School/
University Plaza Nursery School;;;110 Bleecker Street;private;PK;0;N/A;;/new-york/new-york/11467-University-Plaza-Nursery-School/
Addie Mae Collins Community Head Start;;;110 E 129th St;private;PK;0;N/A;;/new-york/new-york/11468-Addie-Mae-Collins-Community-Head-Start/
Addie Mae Collins Head Start;;;110 E 129th St;private;PK;0;N/A;;/new-york/new-york/11469-Addie-Mae-Collins-Head-Start/
Citizens Care Day Care Ctr4;;;110 West 146th Street;private;PK, K;0;N/A;;/new-york/new-york/11470-Citizens-Care-Day-Care-Ctr4/
Victim Services Inf/Tdlr Center;;;111 Centre Street;private;PK;0;N/A;;/new-york/new-york/11471-Victim-Services-Inf-Tdlr-Center/
City College Child Development Center;;;160 Convent Avenue;private;PK;0;N/A;;/new-york/new-york/11472-City-College-Child-Development-Center/
City College Child Development Center;;;111 Convent Ave;private;PK;0;N/A;;/new-york/new-york/11473-City-College-Child-Development-Center/
Bright Horizons Child Care Center-410 Park;;;410 Park Avenue;private;PK;0;N/A;;/new-york/new-york/11474-Bright-Horizons-Child-Care-Center-410-Park/
Chelsea Piers Child Care Center;;;62 Chelsea Piers;private;PK;0;N/A;;/new-york/new-york/11475-Chelsea-Piers-Child-Care-Center/
Early Childhood Learning Center;;;112 East 75th Street;private;PK, K;0;N/A;;/new-york/new-york/11476-Early-Childhood-Learning-Center/
Pequenos Souls Day Care Center;;;114 East 122nd Street;private;PK;0;N/A;;/new-york/new-york/11477-Pequenos-Souls-Day-Care-Center/
Goddard Riverside Head Start;;;70 West 95th Street;private;PK;0;N/A;;/new-york/new-york/11478-Goddard-Riverside-Head-Start/
Garment Industry Day Care Center;;;115 Chrystie Street;private;PK;0;N/A;;/new-york/new-york/11479-Garment-Industry-Day-Care-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Lexington Children's Day Care;;;115 East 98th Street;private;PK;0;N/A;;/new-york/new-york/11480-Lexington-Childrens-Day-Care/
Pre-School Of America;;;1180 Park Avenue;private;PK;0;N/A;;/new-york/new-york/11482-Pre-School-Of-America/
Veritas Young Mothers Program;;;119 West 106th Street;private;PK;0;N/A;;/new-york/new-york/11484-Veritas-Young-Mothers-Program/
First Presbyterian Church Nrsy School;;;12 West 12th Street;private;PK;0;N/A;;/new-york/new-york/11485-First-Presbyterian-Church-Nrsy-School/
Child Development Center;;;120 W 57th St;private;PK;0;N/A;;/new-york/new-york/11486-Child-Development-Center/
Townhouse International;;;1209 Park Avenue;private;PK;0;N/A;;/new-york/new-york/11487-Townhouse-International/
Manhattan Childrens Program;;;122 E 23rd St 4th Fl;private;PK;0;N/A;;/new-york/new-york/11488-Manhattan-Childrens-Program/
House Of Little People #2;;;129 East 90th Street;private;PK;0;N/A;;/new-york/new-york/11489-House-Of-Little-People-2/
Central Synagogue Nursery;;;123 East 55th Street;private;PK;0;N/A;;/new-york/new-york/11490-Central-Synagogue-Nursery/
Dewitt Head Start Program;;;280 Rivington Street;private;PK;0;N/A;;/new-york/new-york/11491-Dewitt-Head-Start-Program/
Rockerfeller Univ Child Center;;;1230 York Avenue;private;PK;0;N/A;;/new-york/new-york/11492-Rockerfeller-Univ-Child-Center/
William Woodward Jr Nrsy School;;;436 East 69th Street;private;PK;0;N/A;;/new-york/new-york/11493-William-Woodward-Jr-Nrsy-School/
Morningside Tendercare;;;124 W 121st St;private;PK;0;N/A;;/new-york/new-york/11494-Morningside-Tendercare/
Chung Pak Child Care Center;;;125 Walker Street;private;PK;0;N/A;;/new-york/new-york/11496-Chung-Pak-Child-Care-Center/
The Mandell Pre School;;;775 Columbus Avenue;private;PK;0;N/A;;/new-york/new-york/11497-The-Mandell-Pre-School/
Time Warner Children's Center;;;1271 Avenue of the Americas;private;PK;0;N/A;;/new-york/new-york/11498-Time-Warner-Childrens-Center/
Brownstone School & Dcc;;;128 West 80th Street;private;PK;0;N/A;;/new-york/new-york/11499-Brownstone-School--Dcc/
West 83rd St Pre-School;;;128 West 83rd Street;private;PK;0;N/A;;/new-york/new-york/11500-West-83rd-St-Pre-School/
Grant Day Care Center;;;1299 Amsterdam Avenue;private;PK, K;0;N/A;;/new-york/new-york/11501-Grant-Day-Care-Center/
East Harlem Head Start;;;130 East 101st Street;private;PK;0;N/A;;/new-york/new-york/11502-East-Harlem-Head-Start/
Beginnings Nursery School;;;130 East 16th Street;private;PK;0;N/A;;/new-york/new-york/11503-Beginnings-Nursery-School/
Citizens Care Dcc #1;;;131 Saint Nicholas Avenue;private;PK;0;N/A;;/new-york/new-york/11504-Citizens-Care-Dcc-1/
Push My Swing Pre-School;;;133 East 29th Street;private;PK;0;N/A;;/new-york/new-york/11505-Push-My-Swing-Pre-School/
Harbor Family Horizons Dc;;;1330 5th Avenue;private;PK;0;N/A;;/new-york/new-york/11506-Harbor-Family-Horizons-Dc/
Child Development Center Of City College;;;133rd St & Convent Ave;private;PK;0;N/A;;/new-york/new-york/11507-Child-Development-Center-Of-City-College/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Cardinal Spellman Head Start;;;137 East 2nd Street;private;PK;0;N/A;;/new-york/new-york/11508-Cardinal-Spellman-Head-Start/
Harriet Tubman Day Care Center;;;138 142 W 143rd St;private;PK;0;N/A;;/new-york/new-york/11509-Harriet-Tubman-Day-Care-Center/
Children's Aid Society-Mil;;;14 West 118th Street #32;private;PK;0;N/A;;/new-york/new-york/11510-Childrens-Aid-Society-Mil/
Woodside Pre-School;;;140 Riverside Boulevard;private;PK, K;0;N/A;;/new-york/new-york/11511-Woodside-Pre-School/
Educational Alliance Dc;;;600 East 6th Street;private;PK;0;N/A;;/new-york/new-york/11512-Educational-Alliance-Dc/
Early Childhood Center;;;146 Duane Street;private;PK;0;N/A;;/new-york/new-york/11513-Early-Childhood-Center/
City Country School;;;146 West 13th Street;private;PK-8;322;N/A;;/new-york/new-york/11514-City-Country-School/
Mount Morris Day Care Center;;;15 Mount Morris Park W;private;PK;0;N/A;;/new-york/new-york/11516-Mount-Morris-Day-Care-Center/
Childrens Liberation Day Care;;;150 1st Ave;private;PK;0;N/A;;/new-york/new-york/11517-Childrens-Liberation-Day-Care/
Pre-School Of America V;;;1501 Lexington Avenue;private;PK;0;N/A;;/new-york/new-york/11518-Pre-School-Of-America-V/
Little Star Day Care Center;;;151 Broome Street;private;PK;0;N/A;;/new-york/new-york/11519-Little-Star-Day-Care-Center/
Jane Varick Dcc;;;151 West 136th Street;private;PK, K;0;N/A;;/new-york/new-york/11520-Jane-Varick-Dcc/
York Ave Pre-School & Kindergarten;;;1520 York Avenue;private;PK;0;N/A;;/new-york/new-york/11521-York-Ave-Pre-School--Kindergarten/
Valdez Day Care;;;155 Audubon Ave;private;PK;0;N/A;;/new-york/new-york/11522-Valdez-Day-Care/
Union Carver Children's Center;;;1565 Madison Avenue;private;PK;0;N/A;;/new-york/new-york/11523-Union-Carver-Childrens-Center/
Prince Hall Dcc;;;159-30 Harlem River Dr;private;PK;0;N/A;;/new-york/new-york/11524-Prince-Hall-Dcc/
Westside Pre-School;;;165 West 105th Street;private;PK;0;N/A;;/new-york/new-york/11525-Westside-Pre-School/
City & Country Pre-School;;;165 W 12th St;private;PK;0;N/A;;/new-york/new-york/11526-City--Country-Pre-School/
City & Country Pre-School I;;;165 W 12th St;private;PK;0;N/A;;/new-york/new-york/11527-City--Country-Pre-School-I/
Seton Dcc;;;1675 3rd Avenue;private;PK;0;N/A;;/new-york/new-york/11528-Seton-Dcc/
Escalera Head Start;;;169 West 87th Street;private;PK;0;N/A;;/new-york/new-york/11529-Escalera-Head-Start/
Children's Aid Society-Milbank;;;21 West 118th Street;private;PK;0;N/A;;/new-york/new-york/11530-Childrens-Aid-Society-Milbank/
Childrens Garden-Gen Theo Dc;;;440 West 21st Street;private;PK;0;N/A;;/new-york/new-york/11531-Childrens-Garden-Gen-Theo-Dc/
University Settlement Day Care;;;175 Eldridge St;private;PK;0;N/A;;/new-york/new-york/11532-University-Settlement-Day-Care/
YWCA Grosvenor Day Care Center;;;176 W 105th St;private;PK;0;N/A;;/new-york/new-york/11533-YWCA-Grosvenor-Day-Care-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Holmes Towers Eisman Nursery;;;1794 1st Avenue;private;PK;0;N/A;;/new-york/new-york/11534-Holmes-Towers-Eisman-Nursery/
Bee Bees Lil Angels Day Care;;;1794 Madison Avenue;private;PK, K;0;N/A;;/new-york/new-york/11535-Bee-Bees-Lil-Angels-Day-Care/
Escuela Hispana Mont Center;;;185 Avenue D;private;PK;0;N/A;;/new-york/new-york/11536-Escuela-Hispana-Mont-Center/
Bright Horizons Child Care Center-Chase;;;18 East 48th Street;private;PK;0;N/A;;/new-york/new-york/11537-Bright-Horizons-Child-Care-Center-Chase/
Chinatown Head Start;;;180 Mott Street;private;PK;0;N/A;;/new-york/new-york/11538-Chinatown-Head-Start/
Puerto Rican Council Dcc;;;180 Suffolk Street;private;PK;0;N/A;;/new-york/new-york/11539-Puerto-Rican-Council-Dcc/
Jackie Robinson Early Learning Center;;;181 W 135th St;private;PK;0;N/A;;/new-york/new-york/11540-Jackie-Robinson-Early-Learning-Center/
Lexington Children's Day Care Center #2;;;183 E 98th St;private;PK;0;N/A;;/new-york/new-york/11541-Lexington-Childrens-Day-Care-Center-2/
Neighborhood Childrens Center;;;173 East 112th Street;private;PK;0;N/A;;/new-york/new-york/11542-Neighborhood-Childrens-Center/
University Settlement Ecc High School;;;184 Eldridge Street;private;PK;0;N/A;;/new-york/new-york/11543-University-Settlement-Ecc-High-School/
University Settlement Child Care Center;;;184 Eldridge St;private;PK;0;N/A;;/new-york/new-york/11544-University-Settlement-Child-Care-Center/
University Settlement Early Head Start;;;184 Eldridge St;private;PK;0;N/A;;/new-york/new-york/11545-University-Settlement-Early-Head-Start/
University Settlement Head Start;;;184 Eldridge St;private;PK;0;N/A;;/new-york/new-york/11546-University-Settlement-Head-Start/
Kiddies Safe Haven Pre-School;;;1890 Adam C Powell Blvd;private;PK;0;N/A;;/new-york/new-york/11547-Kiddies-Safe-Haven-Pre-School/
Union Washington Child Care;;;1893 2nd Avenue;private;PK;0;N/A;;/new-york/new-york/11548-Union-Washington-Child-Care/
Union Washington Child Care Center & Head Start;;;1893 2nd Ave;private;PK;0;N/A;;/new-york/new-york/11549-Union-Washington-Child-Care-Center--Head-Start/
Mcc Early Childhood Center;;;199 Chambers Street;private;PK;0;N/A;;/new-york/new-york/11551-Mcc-Early-Childhood-Center/
Pre-School Of The Arts;;;199 West 19th Street;private;PK;0;N/A;;/new-york/new-york/11552-Pre-School-Of-The-Arts/
Montessori School-Manhattan;;;2 Gold Street;private;PK;0;N/A;;/new-york/new-york/11553-Montessori-School-Manhattan/
United Nations Child Care Center;;;2 United Nations Plaza;private;PK, K;0;N/A;;/new-york/new-york/11554-United-Nations-Child-Care-Center/
Pre-School House Day Care;;;20 Cumming St;private;PK;0;N/A;;/new-york/new-york/11555-Pre-School-House-Day-Care/
JP Morgan Chase Back-Up Child Care Center;;;20 Pine St;private;PK;0;N/A;;/new-york/new-york/11556-JP-Morgan-Chase-Back-Up-Child-Care-Center/
Bright Horizons-Park Ave;;;200 Park Ave;private;PK;0;N/A;;/new-york/new-york/11557-Bright-Horizons-Park-Ave/
ABC-East Harlem Day Care Center;;;206 E 124th St;private;PK;0;N/A;;/new-york/new-york/11558-ABC-East-Harlem-Day-Care-Center/
Upper Manhattan Day Care Center;;;207 W 133rd St;private;PK;0;N/A;;/new-york/new-york/11559-Upper-Manhattan-Day-Care-Center/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Union Settlement Head Start Ii;;;2081 2nd Avenue;private;PK;0;N/A;;/new-york/new-york/11560-Union-Settlement-Head-Start-Ii/
Dawning Village Day Care;;;2090 1st Avenue;private;PK;0;N/A;;/new-york/new-york/11562-Dawning-Village-Day-Care/
Tompkins Hall Nursery School;;;21 Claremont Avenue;private;PK;0;N/A;;/new-york/new-york/11563-Tompkins-Hall-Nursery-School/
Manhattan Kid's Club;;;21 East 13th Street;private;PK;0;N/A;;/new-york/new-york/11564-Manhattan-Kids-Club/
St Benedict Day Nursery;;;21 West 124th Street;private;PK, K;49;N/A;;/new-york/new-york/11565-St-Benedict-Day-Nursery/
Salem Day Care Center;;;211 West 129th Street;private;PK;0;N/A;;/new-york/new-york/11566-Salem-Day-Care-Center/
Abraham Lincoln Head Start;;;2110 Madison Ave;private;PK;0;N/A;;/new-york/new-york/11567-Abraham-Lincoln-Head-Start/
East Harlem Block Nursery #2;;;2112 Madison Avenue;private;PK;0;N/A;;/new-york/new-york/11568-East-Harlem-Block-Nursery-2/
East Harlem Block Nursery 1;;;215 East 106th Street;private;PK;0;N/A;;/new-york/new-york/11569-East-Harlem-Block-Nursery-1/
Battery Park City Day Nursery;;;215 South End Avenue;private;PK;0;N/A;;/new-york/new-york/11570-Battery-Park-City-Day-Nursery/
Battery Park City Nursery;;;215 S End Ave;private;PK;0;N/A;;/new-york/new-york/11571-Battery-Park-City-Nursery/
Battery Park City Day Nursery;;;215 S End Ave;private;PK;0;N/A;;/new-york/new-york/11572-Battery-Park-City-Day-Nursery/
McBurney YMCA Early Childhood Center;;;215 W 23rd St;private;PK;0;N/A;;/new-york/new-york/11573-McBurney-YMCA-Early-Childhood-Center/
Union Settlement Head Start 1;;;218 East 104th Street;private;PK;0;N/A;;/new-york/new-york/11575-Union-Settlement-Head-Start-1/
Chama Child Development Center;;;218 W 147th St;private;PK;0;N/A;;/new-york/new-york/11576-Chama-Child-Development-Center/
Odyssey House Family Child Care Center;;;219 East 121st Street;private;PK;0;N/A;;/new-york/new-york/11577-Odyssey-House-Family-Child-Care-Center/
Pgrm For Teenge Preg Cc;;;22 East 128th Street;private;PK;0;N/A;;/new-york/new-york/11578-Pgrm-For-Teenge-Preg-Cc/
Dawning Village Day Care Center;;;2211 1st Avenue;private;PK, K;0;N/A;;/new-york/new-york/11579-Dawning-Village-Day-Care-Center/
Tribecca Community School;;;22 Ericsson Place;private;PK;0;N/A;;/new-york/new-york/11580-Tribecca-Community-School/
Vanderbilt Ymca Early Chld Center;;;224 East 47th Street;private;PK;0;N/A;;/new-york/new-york/11581-Vanderbilt-Ymca-Early-Chld-Center/
Mary Walton Dcc;;;224 West 152nd Street;private;PK;0;N/A;;/new-york/new-york/11582-Mary-Walton-Dcc/
Kaplan Nursery School;;;225 East 51st Street;private;PK;0;N/A;;/new-york/new-york/11583-Kaplan-Nursery-School/
Community Life Head Start;;;23 West 124th Street;private;PK;0;N/A;;/new-york/new-york/11584-Community-Life-Head-Start/
Basic Trust Infant-Toddler Center;;;225 West 99th Street;private;PK;0;N/A;;/new-york/new-york/11585-Basic-Trust-Infant-Toddler-Center/
Nubian Day Care;;;229 W 135th St;private;PK;0;N/A;;/new-york/new-york/11586-Nubian-Day-Care/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Moravian Head Start Center;;;23 W 124th St;private;PK;0;N/A;;/new-york/new-york/11587-Moravian-Head-Start-Center/
Buckle My Shoe Nursery School;;;230 West 13th Street;private;PK;0;N/A;;/new-york/new-york/11588-Buckle-My-Shoe-Nursery-School/
Citizen's Care Day Care Center #2;;;2322 3rd Avenue;private;PK;0;N/A;;/new-york/new-york/11589-Citizens-Care-Day-Care-Center-2/
Third Street Preschool;;;235 East 11th Street;private;PK, K-4;0;N/A;;/new-york/new-york/11590-Third-Street-Preschool/
Utopia Day Care Center;;;236 West 131st Street;private;PK, K;0;N/A;;/new-york/new-york/11592-Utopia-Day-Care-Center/
St Ignatius Day Nursery;;;240 East 84th Street;private;PK;0;N/A;;/new-york/new-york/11593-St-Ignatius-Day-Nursery/
Tasc Day Care-Community Partnership CHRT;;;241 Emerson Pl;private;PK;0;N/A;;/new-york/new-york/11594-Tasc-Day-Care-Community-Partnership-CHRT/
Countee Cullen CCC-PS 194;;;242 W 144th St;private;PK;0;N/A;;/new-york/new-york/11595-Countee-Cullen-CCC-PS-194/
Mabel Barrett Fitzgerald Dc;;;243 West 64th Street;private;PK;0;N/A;;/new-york/new-york/11596-Mabel-Barrett-Fitzgerald-Dc/
First Friends Pre-School;;;245 West 74th Street;private;PK;0;N/A;;/new-york/new-york/11597-First-Friends-Pre-School/
West End Collegiate Ch Ply School;;;245 W 77th St;private;PK;0;N/A;;/new-york/new-york/11598-West-End-Collegiate-Ch-Ply-School/
West End Collegiate Ch Pre-School;;;245 W 77th St;private;PK;0;N/A;;/new-york/new-york/11599-West-End-Collegiate-Ch-Pre-School/
Kids Korner Pre-School;;;247 West 24th Street;private;PK;0;N/A;;/new-york/new-york/11600-Kids-Korner-Pre-School/
Laguardia House Nursery;;;1st Avenue;private;PK;0;N/A;;/new-york/new-york/11601-Laguardia-House-Nursery/
Ecdo Head Start Ecc;;;249 West 144th Street;private;PK;0;N/A;;/new-york/new-york/11602-Ecdo-Head-Start-Ecc/
Sheltering Arms Learning Center;;;2493 Adam Clayton Powell Junior Boulevard;private;PK;0;N/A;;/new-york/new-york/11603-Sheltering-Arms-Learning-Center/
Red Apple Child Development Center;;;25 Market Street;private;PK;0;N/A;;/new-york/new-york/11604-Red-Apple-Child-Development-Center/
Pre-School Of America;;;25 Tudor City Place;private;PK;0;N/A;;/new-york/new-york/11605-Pre-School-Of-America/
Adam Clayton Powell Day Care;;;25 W 132nd St;private;PK;0;N/A;;/new-york/new-york/11606-Adam-Clayton-Powell-Day-Care/
Purple Circle Dcc;;;251 West 100th Street;private;PK, K;0;N/A;;/new-york/new-york/11607-Purple-Circle-Dcc/
Yaldaynu Preschool;;;251 West 100th Street;private;PK;0;N/A;;/new-york/new-york/11608-Yaldaynu-Pre-School/
Action For Progress Dcc;;;180 Suffolk Street;private;PK;0;N/A;;/new-york/new-york/11609-Action-For-Progress-Dcc/
Fed Kids Child Care Center;;;26 Federal Plaza;private;PK;0;N/A;;/new-york/new-york/11610-Fed-Kids-Child-Care-Center/
Fundacion Dominicana Child Care Center;;;260 Audubon Ave;private;PK;0;N/A;;/new-york/new-york/11612-Fundacion-Dominicana-Child-Care-Center/
Collegiate Pre-School;;;260 W 78th St;private;PK;0;N/A;;/new-york/new-york/11613-Collegiate-Pre-School/
School;Rating;Rating scale;Address;Type;Grades;Total Students Enrolled;Students per teacher;District;URL
Ymca Harlem Outreach Center;;;2627 Adam Clayton Powell Junior Boulevard;private;PK;0;N/A;;/new-york/new-york/11614-Ymca-Harlem-Outreach-Center/
Drew Hamilton Learning Center;;;2672 Frederick Douglass Boulevard;private;PK;0;N/A;;/new-york/new-york/11615-Drew-Hamilton-Learning-Center/
Greenwich House Pre-School;;;224 West 30th Street;private;PK;0;N/A;;/new-york/new-york/11616-Greenwich-House-Pre-School/
Barrow Street Nursery School;;;27 Barrow Street;private;PK;0;N/A;;/new-york/new-york/11617-Barrow-Street-Nursery-School/
International Pre-School's;;;28 East 35th Street;private;PK;0;N/A;;/new-york/new-york/11618-International-Pre-Schools/
Brotherhood Nursery School;;;28 Gramercy Park South;private;PK;0;N/A;;/new-york/new-york/11619-Brotherhood-Nursery-School/
Dewitt Reformed Ch Head Start;;;280 Rivington Street;private;PK;0;N/A;;/new-york/new-york/11620-Dewitt-Reformed-Ch-Head-Start/
Arlem River Head Start;;;291 W 151st St;private;PK;0;N/A;;/new-york/new-york/11621-Arlem-River-Head-Start/
Grand Street Head Start;;;80 Pitt Street;private;PK;0;N/A;;/new-york/new-york/11622-Grand-Street-Head-Start/
Morningside Day Care Center;;;2967 Frederick Douglass Boulevard;private;PK;0;N/A;;/new-york/new-york/11623-Morningside-Day-Care-Center/
East Harlem Bilingual High School Pgrm;;;30 East 111th Street;private;PK;0;N/A;;/new-york/new-york/11624-East-Harlem-Bilingual-High-School-Pgrm/
Grand Street Settlement Dc;;;300 Delancey Street;private;PK;0;N/A;;/new-york/new-york/11625-Grand-Street-Settlement-Dc/
Barnard College Toddler Center;;;3009 Broadway;private;PK;0;N/A;;/new-york/new-york/11626-Barnard-College-Toddler-Center/
Metro North Day Care Center;;;304 East 102nd Street;private;PK, K;0;N/A;;/new-york/new-york/11627-Metro-North-Day-Care-Center/
Childrens Learning Center;;;310 West 103rd Street;private;PK;0;N/A;;/new-york/new-york/11629-Childrens-Learning-Center/
Salvation Army Day Care-Gains;;;315 West 47th Street;private;PK;0;N/A;;/new-york/new-york/11630-Salvation-Army-Day-Care-Gains/
Abc Merricats Castle Nursery;;;316 East 88th Street;private;PK;0;N/A;;/new-york/new-york/11631-Abc-Merricats-Castle-Nursery/
Abc Day Care Jamie Rose;;;318 East 116th Street;private;PK;0;N/A;;/new-york/new-york/11632-Abc-Day-Care-Jamie-Rose/
Washington Market School;;;134 Duane Street;private;PK;0;N/A;;/new-york/new-york/11633-Washington-Market-School/
Citizen's Dcc #3;;;3240 Broadway;private;PK;0;N/A;;/new-york/new-york/11634-Citizens-Dcc-3/
